"target_label" "source_label" "weight" "delay"
"e23" "lgn" "500.0" "1.5"
"i23" "lgn" "300.0" "1.5"
"e4" "lgn" "800.0" "1.5"
"i4" "lgn" "300.0" "1.5"
"eV1" "lgn" "400.0" "1.5"
"iV1" "lgn" "200.0" "1.5"

