"model_id" "level_of_detail" "type_label" "ei_label" "location_label"
"tOFF_001" "filter" "eLGN" "e" "LGN"
"tONOFF_001" "filter" "eLGN" "e" "LGN"
"tON_001" "filter" "eLGN" "e" "LGN"
